worker-1  | {"event": "worker_started", "level": "info", "role": "worker", "timestamp": "2026-08-08T08:08:28.676355Z", "worker_id": "489ea78b44a4:1:d0dd4a72"}
worker-1  | {"event": "worker_started", "level": "info", "role": "worker", "timestamp": "2026-08-08T08:08:36.530371Z", "worker_id": "489ea78b44a4:1:d41b73bb"}
worker-1  | {"event": "worker_stopped", "level": "info", "role": "worker", "timestamp": "2026-08-08T08:09:10.566972Z", "worker_id": "489ea78b44a4:1:d41b73bb"}
worker-1  | {"event": "worker_started", "level": "info", "role": "worker", "timestamp": "2026-08-08T08:09:14.866365Z", "worker_id": "489ea78b44a4:1:8eec970e"}
worker-1  | {"event": "worker_stopped", "level": "info", "role": "worker", "timestamp": "2026-08-08T08:09:37.894069Z", "worker_id": "489ea78b44a4:1:8eec970e"}
worker-1  | {"event": "worker_started", "level": "info", "role": "worker", "timestamp": "2026-08-08T08:09:39.228882Z", "worker_id": "489ea78b44a4:1:65d0d3ed"}
worker-1  | {"event": "worker_started", "level": "info", "role": "worker", "timestamp": "2026-08-08T08:09:43.987439Z", "worker_id": "489ea78b44a4:1:4d2bb4d4"}
worker-1  | {"event": "worker_stopped", "level": "info", "role": "worker", "timestamp": "2026-08-08T08:10:23.030282Z", "worker_id": "489ea78b44a4:1:4d2bb4d4"}
worker-1  | {"event": "worker_started", "level": "info", "role": "worker", "timestamp": "2026-08-08T08:10:27.268487Z", "worker_id": "489ea78b44a4:1:db96b16e"}
worker-1  | {"event": "worker_stopped", "level": "info", "role": "worker", "timestamp": "2026-08-08T08:10:49.793480Z", "worker_id": "489ea78b44a4:1:db96b16e"}
worker-1  | {"event": "worker_started", "level": "info", "role": "worker", "timestamp": "2026-08-08T08:10:51.106248Z", "worker_id": "489ea78b44a4:1:c485fec9"}
worker-1  | {"event": "worker_started", "level": "info", "role": "worker", "timestamp": "2026-08-08T08:10:55.849244Z", "worker_id": "489ea78b44a4:1:26580b99"}
worker-1  | {"event": "worker_stopped", "level": "info", "role": "worker", "timestamp": "2026-08-08T08:11:30.887210Z", "worker_id": "489ea78b44a4:1:26580b99"}
worker-1  | {"event": "worker_started", "level": "info", "role": "worker", "timestamp": "2026-08-08T08:11:35.353659Z", "worker_id": "489ea78b44a4:1:d7896dc3"}
worker-1  | {"event": "worker_stopped", "level": "info", "role": "worker", "timestamp": "2026-08-08T08:11:58.378284Z", "worker_id": "489ea78b44a4:1:d7896dc3"}
worker-1  | {"event": "worker_started", "level": "info", "role": "worker", "timestamp": "2026-08-08T08:11:59.696675Z", "worker_id": "489ea78b44a4:1:a59ece4e"}
reaper-1  | {"event": "reaper_started", "level": "info", "reaper_id": "0491e9f978bd:1:62364754", "role": "reaper", "timestamp": "2026-08-08T08:08:28.578054Z"}
reaper-1  | {"count": 1, "event": "reaper_batch_completed", "level": "info", "reaper_id": "0491e9f978bd:1:62364754", "role": "reaper", "timestamp": "2026-08-08T08:09:03.687473Z"}
reaper-1  | {"event": "reaper_stopped", "level": "info", "reaper_id": "0491e9f978bd:1:62364754", "role": "reaper", "timestamp": "2026-08-08T08:09:10.623620Z"}
reaper-1  | {"event": "reaper_started", "level": "info", "reaper_id": "0491e9f978bd:1:5e9e3bcf", "role": "reaper", "timestamp": "2026-08-08T08:09:14.989686Z"}
reaper-1  | {"error_type": "OperationalError", "event": "reaper_iteration_failed", "level": "error", "reaper_id": "0491e9f978bd:1:5e9e3bcf", "role": "reaper", "timestamp": "2026-08-08T08:09:25.075250Z"}
reaper-1  | {"attempt": 1, "delay_seconds": 0.5950518724731628, "event": "reaper_database_reconnect_scheduled", "level": "warning", "reaper_id": "0491e9f978bd:1:5e9e3bcf", "role": "reaper", "timestamp": "2026-08-08T08:09:25.075481Z"}
reaper-1  | {"count": 1, "event": "reaper_batch_completed", "level": "info", "reaper_id": "0491e9f978bd:1:5e9e3bcf", "role": "reaper", "timestamp": "2026-08-08T08:10:15.789750Z"}
reaper-1  | {"event": "reaper_stopped", "level": "info", "reaper_id": "0491e9f978bd:1:5e9e3bcf", "role": "reaper", "timestamp": "2026-08-08T08:10:22.562366Z"}
reaper-1  | {"event": "reaper_started", "level": "info", "reaper_id": "0491e9f978bd:1:736bfabe", "role": "reaper", "timestamp": "2026-08-08T08:10:27.278981Z"}
reaper-1  | {"error_type": "OperationalError", "event": "reaper_iteration_failed", "level": "error", "reaper_id": "0491e9f978bd:1:736bfabe", "role": "reaper", "timestamp": "2026-08-08T08:10:37.333662Z"}
reaper-1  | {"attempt": 1, "delay_seconds": 0.47495645335817693, "event": "reaper_database_reconnect_scheduled", "level": "warning", "reaper_id": "0491e9f978bd:1:736bfabe", "role": "reaper", "timestamp": "2026-08-08T08:10:37.333844Z"}
reaper-1  | {"error_type": "OperationalError", "event": "reaper_iteration_failed", "level": "error", "reaper_id": "0491e9f978bd:1:736bfabe", "role": "reaper", "timestamp": "2026-08-08T08:10:37.814620Z"}
