arm_id,workload,workers,repetition,valid_for_capacity_comparison,throughput_cases_per_second,case_latency_p95_ms,case_latency_p99_ms,end_to_end_ms,collector_missed_samples,worker_cluster_cpu_percent_peak,worker_cluster_rss_bytes_peak
transient_5pct_v1-r02-p01-w02,transient_5pct_v1,2,2,True,19.91396131671724,25.0,25.0,25108.013019000056,0,71.88,148541277
transient_5pct_v1-r02-p02-w04,transient_5pct_v1,4,2,True,7.723043625120629,25.0,25.0,64741.314988,0,139.76,305722819
transient_5pct_v1-r02-p03-w01,transient_5pct_v1,1,2,True,18.876269218332574,25.0,25.0,26488.28506399991,0,57.41,88699044
transient_5pct_v1-r02-p04-w08,transient_5pct_v1,8,2,True,5.72603735190153,25.0,25.0,87320.42235700009,0,203.78,615566541
transient_5pct_v1-r04-p01-w08,transient_5pct_v1,8,4,True,13.455160997111449,25.0,25.0,37160.46207900001,0,197.98,599303127
transient_5pct_v1-r04-p02-w01,transient_5pct_v1,1,4,True,18.992334861314326,25.0,25.0,26326.410293999972,0,54.57,75151442
transient_5pct_v1-r04-p03-w04,transient_5pct_v1,4,4,True,28.815498358529993,25.0,25.0,17351.77347199999,0,122.71,291483157
transient_5pct_v1-r04-p04-w02,transient_5pct_v1,2,4,True,28.992885629873626,25.0,25.0,17245.61005700002,0,90.71,149380137
transient_5pct_v1-r03-p01-w04,transient_5pct_v1,4,3,True,6.904003286591555,25.0,25.0,72421.749997,0,128.79,300479939
transient_5pct_v1-r03-p02-w08,transient_5pct_v1,8,3,True,12.603520884102707,25.0,25.0,39671.45407999988,0,200.43,602239140
transient_5pct_v1-r03-p03-w02,transient_5pct_v1,2,3,True,28.02829872606682,25.0,25.0,17839.113421999857,0,64.69,149443051
transient_5pct_v1-r03-p04-w01,transient_5pct_v1,1,3,True,18.69430320066688,25.0,25.0,26746.115895999992,0,60.97,79597404
io_latency_v1-r01-p01-w01,io_latency_v1,1,1,True,19.643110734154053,25.0,25.0,25454.216837999866,0,32.21,75329700
io_latency_v1-r01-p02-w02,io_latency_v1,2,1,True,7.444708923716161,25.0,25.0,67161.79304299998,0,57.58,157338829
io_latency_v1-r01-p03-w08,io_latency_v1,8,1,True,13.790419001128479,25.0,25.0,36257.05643599985,0,245.75,620075420
io_latency_v1-r01-p04-w04,io_latency_v1,4,1,True,4.9375432579109235,25.0,25.0,101264.9355929998,0,123.86,301968916
io_latency_v1-r03-p01-w04,io_latency_v1,4,3,True,25.904754339586805,25.0,25.0,19301.476224999988,0,143.3,306551193
io_latency_v1-r03-p02-w08,io_latency_v1,8,3,True,13.46174968923156,25.0,25.0,37142.2743359999,0,261.48,613259673
io_latency_v1-r03-p03-w02,io_latency_v1,2,3,True,32.052247236904435,25.0,25.0,15599.53023900016,0,80.56,160138526
io_latency_v1-r03-p04-w01,io_latency_v1,1,3,True,19.86076357241462,25.0,25.0,25175.265702999925,0,59.77,75340186
io_latency_v1-r02-p01-w02,io_latency_v1,2,2,True,31.025745203951992,25.0,25.0,16115.64836599996,0,90.67,148195246
io_latency_v1-r02-p02-w04,io_latency_v1,4,2,True,29.603435758839442,25.0,25.0,16889.931427999953,0,137.01,304873471
io_latency_v1-r02-p03-w01,io_latency_v1,1,2,True,7.0481327117962325,25.0,25.0,70940.77544300012,0,51.17,85731574
io_latency_v1-r02-p04-w08,io_latency_v1,8,2,True,8.507696979511135,25.0,25.0,58770.31130799992,0,202.29,591627552
transient_5pct_v1-r01-p01-w01,transient_5pct_v1,1,1,True,18.770288516733753,25.0,25.0,26637.84307600008,0,32.13,75497472
transient_5pct_v1-r01-p02-w02,transient_5pct_v1,2,1,True,31.204044689791,25.0,25.0,16023.563771,0,83.19,160673300
transient_5pct_v1-r01-p03-w08,transient_5pct_v1,8,1,True,12.680776131012667,25.0,25.0,39429.76319700006,0,239.64000000000001,612882186
transient_5pct_v1-r01-p04-w04,transient_5pct_v1,4,1,True,26.43678760755076,25.0,25.0,18913.039186999868,0,132.67,305607475
io_latency_v1-r04-p01-w08,io_latency_v1,8,4,True,3.8572428953677287,25.0,25.0,129626.26766400013,0,172.07,601945538
io_latency_v1-r04-p02-w01,io_latency_v1,1,4,True,11.296475878226822,25.0,25.0,44261.59143699988,0,51.0,83959480
io_latency_v1-r04-p03-w04,io_latency_v1,4,4,True,28.490596448039774,25.0,25.0,17549.65014199979,0,147.64,302944093
io_latency_v1-r04-p04-w02,io_latency_v1,2,4,True,30.49712584851217,25.0,25.0,16394.987595999737,0,65.69,156070052
