arm_id,source_commit,queue_size,tenant_count,distribution,worker_concurrency,claim_batch_size,sample_jobs,background_queue_jobs,claim_calls,successful_claim_calls,empty_claims,empty_while_eligible,contention_retries,contention_retry_per_success,max_retry_exits,waiting_fallbacks,tenant_turn_reserved,tenant_turn_without_job,reservation_miss_rate,claim_latency_p50_ms,claim_latency_p95_ms,claim_latency_p99_ms,reservation_latency_p50_ms,reservation_latency_p95_ms,reservation_latency_p99_ms,job_claim_latency_p50_ms,job_claim_latency_p95_ms,job_claim_latency_p99_ms,queue_wait_p50_ms,queue_wait_p95_ms,result_commit_latency_p50_ms,result_commit_latency_p95_ms,result_commit_latency_p99_ms,end_to_end_seconds,jobs_per_second,fair_explain_median_ms,legacy_fifo_explain_median_ms,fair_vs_legacy_latency_ratio,worker_process_cpu_percent,worker_process_rss_bytes_peak,postgres_connections_peak,postgres_lock_waiting_connections_peak,submitted_count,unique_job_count,terminal_count,lost_count,duplicate_durable_result_count,stale_success_accepted_count,stale_failure_accepted_count,illegal_state_transition_count,orphan_nonterminal_count,attempt_sequence_mismatch_count,fair_first_secondary_tenant_position,legacy_fifo_first_secondary_tenant_position,stale_evidence_scope,stale_evidence_source_commit,scheduler_coordination_wait_ms_count,scheduler_coordination_wait_ms_sum,scheduler_coordination_wait_ms_p50,scheduler_coordination_wait_ms_p95,scheduler_coordination_wait_ms_p99,tenant_permit_wait_ms_count,tenant_permit_wait_ms_sum,tenant_permit_wait_ms_p50,tenant_permit_wait_ms_p95,tenant_permit_wait_ms_p99,job_row_wait_ms_count,job_row_wait_ms_sum,job_row_wait_ms_p50,job_row_wait_ms_p95,job_row_wait_ms_p99,durable_sequence_wait_ms_count,durable_sequence_wait_ms_sum,durable_sequence_wait_ms_p50,durable_sequence_wait_ms_p95,durable_sequence_wait_ms_p99,transaction_commit_ms_count,transaction_commit_ms_sum,transaction_commit_ms_p50,transaction_commit_ms_p95,transaction_commit_ms_p99,claim_total_ms_count,claim_total_ms_sum,claim_total_ms_p50,claim_total_ms_p95,claim_total_ms_p99,generation_advance_count,job_skip_locked_miss_count,permit_consumed_count,permit_empty_count,permit_pending_count,round_created_count,performance_attribution_enabled
fair-q1000-single_tenant-w1-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,1,single_tenant,1,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,16.5476839999954,22.081431150011355,24.981654460003426,6.788188000001583,9.629396400004708,12.189924179997362,9.630391500003554,13.703412299997096,16.512778550000373,3601712.397,3602938.8868,10.08461250000181,14.161852949992948,16.11963834999021,2.949774319999989,33.90089856094495,1.592,2.061,0.772440562833576,67.96870494146845,95395840,2,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,False
fair-q1000-single_tenant-w2-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,1,single_tenant,2,1,100,900,100,100,0,0,103,1.03,0,97,100,0,0.0,38.12790349999062,51.796749300001466,74.87063247000185,8.82346499999187,14.743320499994171,18.396278860005566,6.859958000006827,18.593261599984594,20.54913954000596,3601614.548,3602898.05925,16.71694500000598,21.174455200004868,24.074404829988673,2.9338850979999904,34.08449774265847,1.6385,2.0465,0.8006352308819937,86.8740488418408,96751616,3,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,False
fair-q1000-single_tenant-w4-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,1,single_tenant,4,1,100,900,100,100,0,0,232,2.32,0,146,100,0,0.0,67.8056180000084,283.51212424999795,413.8739037600082,12.789856500020846,22.28547560000038,57.86154029001181,14.391263500002083,23.57377484999006,27.066629619984326,3601966.461,3603476.63755,22.431585999996173,29.46116599999158,58.57195325999986,3.4937598790000095,28.62245931698723,2.527,3.12,0.8099358974358974,93.33356721508079,97824768,5,2,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,False
fair-q1000-single_tenant-w8-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,1,single_tenant,8,1,100,900,100,100,0,0,449,4.49,0,243,100,0,0.0,62.929452999995306,1130.8842816499787,1613.645190120017,19.42490100000782,30.686241000006483,105.19796560000574,15.65641100000903,34.37089639998591,42.89983639999485,3602781.0465,3604452.3093000003,30.554282499991814,41.98048350002068,45.30699407001656,4.489889817999995,22.27226147044843,1.6555,2.083,0.7947671627460393,95.76818194428142,98029568,9,5,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,False
fair-q1000-balanced_multi_tenant-w1-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,4,balanced_multi_tenant,1,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,11.608767500007389,20.459472699988623,24.1944404299931,2.412357499991913,9.552725699988683,13.541374510012512,8.577704999979119,13.612328899989734,17.94728636999966,3601405.812,3602493.59475,9.931007500000533,14.264745849990845,14.94907860000923,2.4940263320000042,40.09580761715864,1.621,2.8905,0.5608026293028888,69.98825876871287,98217984,3,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,False
fair-q1000-balanced_multi_tenant-w2-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,4,balanced_multi_tenant,2,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,21.16383150000445,27.585103149981194,73.79264803001526,6.3405504999991535,11.523007350018588,45.97214041999,13.504218499988951,17.99246144998676,27.80554624000163,3601130.928,3601926.0334,14.855363499989949,20.525304399997424,21.29830093001375,1.89430388400001,52.78984055548686,1.417,2.843,0.4984171649665846,91.77074627166787,98836480,3,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,False
fair-q1000-balanced_multi_tenant-w4-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,4,balanced_multi_tenant,4,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,38.96060699999282,91.10572139999532,160.5901663799992,13.016616999991015,21.93694060001689,73.11357269998982,25.933588000000896,75.18356314999295,85.97255105001354,3601146.9925,3601905.1961000003,27.58447299999034,37.90768294999367,42.32476260000438,1.884508813999986,53.064225148272904,1.45,2.807,0.5165657285358033,96.39153292917489,99569664,5,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,False
fair-q1000-balanced_multi_tenant-w8-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,4,balanced_multi_tenant,8,1,100,900,100,100,0,0,91,0.91,0,58,100,0,0.0,109.57203000000959,252.50790109999727,444.99514313999714,21.15573300000051,60.51217450000479,120.13164760001864,37.1959889999971,68.95882300000267,138.00581759998636,3601455.496,3602395.7122,44.27900099999249,54.23674339998427,70.87407494000446,2.402154631000002,41.629293430777444,1.441,2.8099999999999996,0.512811387900356,94.7229368849068,99684352,9,3,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,False
fair-q1000-skew_20_to_1-w1-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,2,skew_20_to_1,1,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,16.324934500019594,22.68547164998438,24.7992871200224,6.706726000004437,9.037812900008644,10.91683002001176,9.684587500004227,14.573053899999877,15.572135800005402,3600289.6715,3602586.94535,9.98965200000157,14.83398469997752,15.894232840020106,2.6513822400000038,37.71617629904614,1.439,1.9740000000000002,0.7289766970618033,68.69442589311454,99663872,2,0,100,100,100,0,0,0,0,0,0,0,2,953,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,False
fair-q1000-skew_20_to_1-w2-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,2,skew_20_to_1,2,1,100,900,100,100,0,0,3,0.03,0,3,100,0,0.0,23.313558000012335,33.3203917999981,75.1907346300144,9.107063999977072,13.424378100009449,46.05516948000981,14.568440000005012,19.728091999996877,28.240843140009158,3600268.3959999997,3602054.0839,15.202470000005519,21.535794900010785,23.317388539986446,2.1145446210000216,47.29150617436839,1.417,2.458,0.5764849471114727,87.51009671883297,100012032,3,1,100,100,100,0,0,0,0,0,0,0,2,953,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,False
