arm_id,source_commit,queue_size,distribution,worker_concurrency,claim_batch_size,sample_jobs,background_queue_jobs,claim_calls,successful_claim_calls,empty_claims,contention_retries,max_retry_exits,claim_latency_p50_ms,claim_latency_p95_ms,claim_latency_p99_ms,queue_wait_p50_ms,queue_wait_p95_ms,result_commit_latency_p50_ms,result_commit_latency_p95_ms,result_commit_latency_p99_ms,end_to_end_seconds,jobs_per_second,fair_explain_median_ms,legacy_fifo_explain_median_ms,fair_vs_legacy_latency_ratio,worker_process_cpu_percent,worker_process_rss_bytes_peak,postgres_connections_peak,postgres_lock_waiting_connections_peak,submitted_count,unique_job_count,terminal_count,lost_count,duplicate_durable_result_count,stale_success_accepted_count,stale_failure_accepted_count,illegal_state_transition_count,orphan_nonterminal_count,attempt_sequence_mismatch_count,fair_first_secondary_tenant_position,legacy_fifo_first_secondary_tenant_position,stale_evidence_scope,stale_evidence_source_commit
fair-q1000-single_tenant-w1-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,1000,single_tenant,1,1,100,900,100,100,0,0,0,312.8638389999878,353.43281784999476,388.6539336300292,3619432.807,3633289.5340500004,10.244236000005458,15.376974100041705,21.13508908999295,32.61443965300009,3.0661265704376848,481.971,3.5564999999999998,135.5183466891607,8.74724591730821,100761600,2,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-single_tenant-w2-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,1000,single_tenant,2,1,100,900,100,100,0,80,0,18.9356699999621,149.13303699992147,376.2956517200453,3601846.3995,3603197.2874999996,14.73671500002638,25.305132899984525,29.473652739941375,3.222347758000069,31.033273721537867,8.163,2.343,3.483994878361076,58.116982822558505,101523456,3,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-single_tenant-w4-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,1000,single_tenant,4,1,100,900,101,100,1,163,1,63.02292100008344,518.0148800000097,836.2343200000169,3603220.746,3605097.5289999996,28.002657999991243,84.8795336999558,91.8180118100179,5.10666203400001,19.582263195449954,8.4225,2.7965,3.0118004648667975,47.250672610303305,102588416,5,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-single_tenant-w8-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,1000,single_tenant,8,1,100,900,105,100,5,494,5,277.28510899999037,2360.7472163999773,3063.452047119994,3607625.728,3611087.0360000003,102.10617650000131,201.80760590000656,290.4728787399529,11.069883237999989,9.03351894956998,8.21,2.2415000000000003,3.662725853223288,39.37601384120402,102912000,9,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-balanced_multi_tenant-w1-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,1000,balanced_multi_tenant,1,1,100,900,100,100,0,0,0,14.412713499950769,20.360800249966353,23.80938799991344,3601516.692,3602634.43775,9.65051000002859,13.94339479997484,14.557008879963881,2.6239183370000774,38.11094216991901,9.9565,3.3925,2.9348563006632276,52.40141568475794,102895616,2,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-balanced_multi_tenant-w2-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,1000,balanced_multi_tenant,2,1,100,900,100,100,0,0,0,21.479516999988846,40.760744050004405,70.56922077000196,3601202.6744999997,3602006.96845,15.14720699992722,20.18212240001276,21.788897720011846,1.9498209879999422,51.286759459172956,9.9775,3.3785,2.9532336835873907,70.21047149586023,102916096,3,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-balanced_multi_tenant-w4-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,1000,balanced_multi_tenant,4,1,100,900,100,100,0,0,0,54.26996900001768,81.22960734997378,134.81755582003757,3601460.5625,3602314.51345,29.543180000018765,66.33385430003496,87.88195366002925,2.274310530999969,43.96936945810649,10.073,3.4165,2.948338943363091,62.08425734981662,103256064,5,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-balanced_multi_tenant-w8-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,1000,balanced_multi_tenant,8,1,100,900,100,100,0,42,0,101.1194079999882,416.8321070999923,481.8732162800372,3602025.6835000003,3603507.882,107.14881050000713,174.02302035000616,188.73862716001946,3.4869690189999574,28.67820145665631,10.3055,3.4725,2.967746580273578,51.3241173996224,103440384,9,2,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-skew_20_to_1-w1-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,1000,skew_20_to_1,1,1,100,900,100,100,0,0,0,14.327960000059647,18.477936000078895,23.948912339965492,3600299.5259999996,3602494.9767,9.983470500003477,13.819299349910352,18.179299689913943,2.520086450000008,39.68117839766953,9.002,2.1225,4.241224970553593,54.896922881355735,103395328,2,0,100,100,100,0,0,0,0,0,0,0,2,953,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-skew_20_to_1-w2-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,1000,skew_20_to_1,2,1,100,900,100,100,0,2,0,18.778159500016045,31.038983449980147,67.08756415000721,3600269.7314999998,3601830.3519999995,14.708830500012482,20.11625555000478,22.12512283002184,1.8514540229999739,54.01160318200427,8.91,2.2155,4.021665538253216,70.91376359822365,103464960,3,0,100,100,100,0,0,0,0,0,0,0,2,953,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
