arm_id,source_commit,queue_size,distribution,worker_concurrency,claim_batch_size,sample_jobs,background_queue_jobs,claim_calls,successful_claim_calls,empty_claims,contention_retries,max_retry_exits,claim_latency_p50_ms,claim_latency_p95_ms,claim_latency_p99_ms,queue_wait_p50_ms,queue_wait_p95_ms,result_commit_latency_p50_ms,result_commit_latency_p95_ms,result_commit_latency_p99_ms,end_to_end_seconds,jobs_per_second,fair_explain_median_ms,legacy_fifo_explain_median_ms,fair_vs_legacy_latency_ratio,worker_process_cpu_percent,worker_process_rss_bytes_peak,postgres_connections_peak,postgres_lock_waiting_connections_peak,submitted_count,unique_job_count,terminal_count,lost_count,duplicate_durable_result_count,stale_success_accepted_count,stale_failure_accepted_count,illegal_state_transition_count,orphan_nonterminal_count,attempt_sequence_mismatch_count,fair_first_secondary_tenant_position,legacy_fifo_first_secondary_tenant_position,stale_evidence_scope,stale_evidence_source_commit
fair-q100000-single_tenant-w1-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,100000,single_tenant,1,1,100,99900,100,100,0,0,0,1273.3241105000843,2523.4667056000035,2761.602614829863,3666935.0300000003,3722229.3813,35.552244499967856,61.20234854997761,65.53936733984995,121.62114453800007,0.8222254475557528,726.741,328.431,2.212766151794441,6.079081439403774,96473088,4,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q100000-single_tenant-w2-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,100000,single_tenant,2,1,100,99900,100,100,0,0,0,4023.887883500038,4307.283807450062,6007.281342120082,3718814.4715,3802056.23675,99.92228149997118,312.8398120500606,319.57267866991765,199.23986560100002,0.5019075861065934,1157.3255,311.178,3.7191751987608375,5.864592139607101,98795520,5,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q100000-single_tenant-w4-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,100000,single_tenant,4,1,100,99900,100,100,0,1,0,7994.410053499905,10478.92551555002,12108.73650427996,3728044.332,3811079.79645,212.5389500000665,677.2635811499413,980.2973568301244,207.80158580700004,0.4812282813514091,977.8845,313.83349999999996,3.115934086067931,5.332250612510359,103370752,7,2,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q100000-single_tenant-w8-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,100000,single_tenant,8,1,100,99900,100,100,0,14,0,20607.399098500082,48522.58876975005,52983.37495184006,3789405.7255,3901310.3230500002,305.2589540000099,1117.12912594994,4722.747182949904,298.13325595900005,0.3354204806113687,955.763,341.379,2.7997123431728372,5.199957805489495,103763968,12,2,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q100000-balanced_multi_tenant-w1-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,100000,balanced_multi_tenant,1,1,100,99900,100,100,0,0,0,1016.4059769999767,4044.2071718999614,4201.297205850038,3700558.191,3750595.6305,16.42435449991808,22.374712800001358,25.996929249906827,139.621000761,0.7162246327912926,2157.8955,424.9075,5.078506498473197,5.59296538947403,104759296,3,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q100000-balanced_multi_tenant-w2-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,100000,balanced_multi_tenant,2,1,100,99900,100,100,0,0,0,4768.831489500144,6604.825257299876,6769.575851910249,3714474.834,3818567.69845,23.35029500022756,75.2545050998151,84.30322374973913,219.38259710700004,0.45582467031888924,1256.0504999999998,409.817,3.0649057994177884,5.660687390779253,104771584,4,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q100000-balanced_multi_tenant-w4-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,100000,balanced_multi_tenant,4,1,100,99900,100,100,0,0,0,12369.368092500054,14411.994400049864,15510.88898616975,3769304.652,3913937.8197500003,96.19777350008007,112.31072099978974,186.61293789038157,315.58363907600005,0.31687320766308047,1202.6345000000001,363.88300000000004,3.305003256541251,4.699770686600192,105279488,6,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q100000-balanced_multi_tenant-w8-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,100000,balanced_multi_tenant,8,1,100,99900,100,100,0,0,0,27157.504574999846,30249.677728549865,32259.37433429021,3794524.0855,3915867.8522,117.02086850004889,398.00941135008543,593.8312207402547,313.76672750199987,0.31870810775933095,1244.6979999999999,400.9055,3.104716697575862,4.944514739505357,105340928,10,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q100000-skew_20_to_1-w1-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,100000,skew_20_to_1,1,1,100,99900,100,100,0,0,0,890.9797560002062,2630.8021370501137,2908.8087353403016,3640195.0094999997,3708669.5888499995,25.00423099991167,65.38024619994756,74.58083962992987,108.53551804200015,0.9213573750235646,2039.292,331.271,6.155962942726649,6.069465757237934,105283584,4,0,100,100,100,0,0,0,0,0,0,0,2,95239,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q100000-skew_20_to_1-w2-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,100000,skew_20_to_1,2,1,100,99900,100,100,0,0,0,3444.778436999968,4383.069016400032,4477.990398829893,3659756.76,3749694.737,66.00212050011578,106.61384620025274,167.42888948012478,155.72012983500008,0.6421777332574746,1030.2745,350.20050000000003,2.9419561080009875,6.016934165754897,105291776,5,0,100,100,100,0,0,0,0,0,0,0,2,95239,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
