arm_id,source_commit,queue_size,tenant_count,distribution,worker_concurrency,claim_batch_size,sample_jobs,background_queue_jobs,claim_calls,successful_claim_calls,empty_claims,empty_while_eligible,contention_retries,contention_retry_per_success,max_retry_exits,waiting_fallbacks,tenant_turn_reserved,tenant_turn_without_job,reservation_miss_rate,claim_latency_p50_ms,claim_latency_p95_ms,claim_latency_p99_ms,reservation_latency_p50_ms,reservation_latency_p95_ms,reservation_latency_p99_ms,job_claim_latency_p50_ms,job_claim_latency_p95_ms,job_claim_latency_p99_ms,queue_wait_p50_ms,queue_wait_p95_ms,result_commit_latency_p50_ms,result_commit_latency_p95_ms,result_commit_latency_p99_ms,end_to_end_seconds,jobs_per_second,fair_explain_median_ms,legacy_fifo_explain_median_ms,fair_vs_legacy_latency_ratio,worker_process_cpu_percent,worker_process_rss_bytes_peak,postgres_connections_peak,postgres_lock_waiting_connections_peak,submitted_count,unique_job_count,terminal_count,lost_count,duplicate_durable_result_count,stale_success_accepted_count,stale_failure_accepted_count,illegal_state_transition_count,orphan_nonterminal_count,attempt_sequence_mismatch_count,fair_first_secondary_tenant_position,legacy_fifo_first_secondary_tenant_position,stale_evidence_scope,stale_evidence_source_commit
fair-q1000-single_tenant-w1-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,1,single_tenant,1,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,21.504727999996476,27.921863600010965,35.134383680020846,8.478983499998094,12.98776819999432,14.86329343997955,12.916704000005552,17.895225899994216,22.78193475999112,3602116.9025,3603674.6585999997,12.098322500008862,16.473631249996856,20.430164139991433,3.71094266099999,26.947330943952913,1.7109999999999999,2.1765,0.7861245118309211,68.01160725344893,95367168,2,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-single_tenant-w2-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,1,single_tenant,2,1,100,900,100,100,0,0,96,0.96,0,94,100,0,0.0,43.809938999999076,52.92247414999593,88.7416433100077,11.40239749999239,17.529428750002296,23.08116709999018,15.077303999987635,20.984554499996477,23.348614100021393,3601883.3025,3603285.87405,19.28657499999531,25.874818000004037,28.14136942998687,3.3313571550000063,30.017796155513025,1.8439999999999999,2.2325,0.825979843225084,87.41425390637812,96624640,3,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-single_tenant-w4-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,1,single_tenant,4,1,100,900,100,100,0,0,240,2.4,0,149,100,0,0.0,75.08346000000188,316.28678609998525,564.1306960200179,15.497961999983545,23.86792115000134,50.20297492001379,16.189578999970422,28.88428274999626,34.59420929998147,3602144.1205,3603892.60585,25.831952499984823,32.72103154999257,36.006006920007444,3.948528463000031,25.325890629143785,1.78,2.197,0.810195721438325,94.93102445947773,97669120,5,2,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-single_tenant-w8-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,1,single_tenant,8,1,100,900,100,100,0,0,454,4.54,0,242,100,0,0.0,68.94258500003048,1386.797090100006,2038.0400883300374,22.55423549999591,34.78897225000992,122.44636608998638,19.765917999961857,39.68809784998939,45.14044224000885,3603157.1955000004,3605195.0459999996,36.3848355000016,47.08569685004704,53.72714892000973,5.250893138000038,19.044379188811305,1.9475,2.9255,0.6656981712527773,96.77360964034845,98103296,10,5,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-balanced_multi_tenant-w1-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,4,balanced_multi_tenant,1,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,13.766148499996689,24.694755650020284,26.75475814998403,2.882577999997693,13.041194500010533,14.621247769973875,10.630846999987398,15.518277449982065,16.543799070008784,3601695.229,3602935.5958000002,11.706708000019717,16.599132150005858,18.083108650016595,2.941628095999988,33.99478001178311,3.9335,4.2165,0.9328827226372584,71.19838221044819,98091008,2,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-balanced_multi_tenant-w2-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,4,balanced_multi_tenant,2,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,26.242093500002284,37.86025214997437,97.93944228996631,9.126015499987261,18.24315770001021,53.3877636499938,15.719509000007292,23.18308860001821,44.52895564997054,3601369.4545,3602316.0944499997,16.663955500007432,22.86887325002453,30.289794660020608,2.2729390590000094,43.995900199803636,3.8529999999999998,4.118,0.9356483729966002,89.38375465701344,98287616,3,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-balanced_multi_tenant-w4-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,4,balanced_multi_tenant,4,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,46.400889999972605,61.70115100000823,145.58805755001575,16.58581999998887,25.932269700007215,82.78394931000781,28.638616499989666,43.67863144998694,60.18137629002298,3601298.3875,3602144.8196,30.517914499995413,43.27425039999467,58.20801721000015,2.0998090720000278,47.62337744581317,3.8205,4.2059999999999995,0.9083452211126962,95.57853296101835,99110912,5,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-balanced_multi_tenant-w8-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,4,balanced_multi_tenant,8,1,100,900,100,100,0,0,94,0.94,0,59,100,0,0.0,140.45400500000937,331.9314206000313,597.3991248799916,28.3183754999925,93.15982749998561,224.0951752299971,45.3171990000385,86.84408705000519,140.58471727001006,3601844.8505,3602993.0764499996,52.10255500000471,64.0152104500288,81.41992129004456,2.9924835510000207,33.41705920708645,4.018,4.384499999999999,0.9164100809670431,95.52708465330453,99258368,9,5,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-skew_20_to_1-w1-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,2,skew_20_to_1,1,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,18.936449999984006,25.521014799994642,30.003841769970677,8.040127499981509,12.185682649985095,17.88302325003329,10.923788500036835,15.183816199993316,19.556525739994346,3600323.9565000003,3602978.6899500005,11.384971500007168,16.45457034999822,21.109172210001933,3.0664513319999855,32.61098552468416,2.3765,2.583,0.9200542005420054,69.28945484402072,99258368,2,0,100,100,100,0,0,0,0,0,0,0,2,953,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-skew_20_to_1-w2-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,2,skew_20_to_1,2,1,100,900,100,100,0,0,3,0.03,0,3,100,0,0.0,27.385001499993677,37.36293069999306,82.16462751001987,11.159503999977005,15.347655200014287,47.9048140199633,16.561375999970096,22.77027569996903,33.30465603999645,3600298.4155,3602359.1089,17.1153804999733,24.264003049975713,27.15573987002075,2.4216082489999735,41.2948708947023,2.2635,2.4059999999999997,0.940773067331671,88.52301939775991,99422208,3,1,100,100,100,0,0,0,0,0,0,0,2,953,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
